"","timestamp","source","destination","databytes"
"5501",79.131761,75,5,231
"5502",79.131762,415,80,85
"5503",79.135665,80,415,27
"5504",79.147376,8,401,42
"5505",79.150304,8,116,42
"5506",79.204961,5,249,242
"5507",79.210816,195,63,115
"5508",79.21472,5,353,38
"5509",79.214722,63,195,27
"5510",79.25376,17,339,45
"5511",79.274257,415,80,23
"5512",79.27816,80,415,45
"5513",79.278162,8,116,146
"5514",79.280112,2,37,212
"5515",79.295728,410,8,31
"5516",79.338673,5,62,29
"5517",79.344528,8,401,34
"5518",79.34648,29,30,60
"5519",79.358194,2,6,24
"5520",79.367955,8,5,111
"5521",79.399185,8,401,101
"5522",79.42456,8,116,38
"5523",79.45384,2,37,212
"5524",79.474336,78,5,32
"5525",79.499712,417,80,46
"5526",79.520209,5,249,42
"5527",79.529968,84,5,43
"5528",79.535824,44,45,51
"5529",79.536801,44,45,51
"5530",79.537776,8,401,38
"5531",79.538752,45,47,51
"5532",79.539728,45,47,51
"5533",79.542657,47,49,53
"5534",79.542658,47,49,53
"5535",79.5612,82,5,40
"5536",79.581697,5,249,28
"5537",79.607074,2,37,212
"5538",79.612929,88,5,37
"5539",79.61293,87,5,193
"5540",79.621713,8,110,45
"5541",79.707601,8,401,223
"5542",79.708576,133,8,40
"5543",79.735904,410,8,119
"5544",79.736881,8,5,119
"5545",79.760304,8,120,39
"5546",79.765184,8,123,44
"5547",79.79056,8,116,37
"5548",79.801296,2,37,212
"5549",79.81008,29,30,60
"5550",79.830576,24,186,24
"5551",79.845217,42,8,51
"5552",79.846193,421,24,216
"5553",79.856928,5,249,38
"5554",79.878403,5,249,221
"5555",79.904753,8,120,73
"5556",79.919392,57,5,42
"5557",79.953552,2,37,212
"5558",79.96624,8,42,35
"5559",79.972096,224,92,39
"5560",79.989665,8,116,99
"5561",80.001952,2,52,68
"5562",80.016592,8,401,51
"5563",80.036112,29,30,120
"5564",80.065394,61,8,37
"5565",80.066368,8,116,42
"5566",80.081008,224,92,39
"5567",80.108337,8,110,46
"5568",80.123952,2,37,212
"5569",80.125906,24,186,172
"5570",80.153232,5,353,55
"5571",80.157136,5,259,54
"5572",80.177634,8,110,32
"5573",80.1952,63,195,27
"5574",80.232289,29,30,60
"5575",80.276211,42,8,34
"5576",80.277185,86,85,85
"5577",80.278161,2,37,212
"5578",80.283042,5,259,186
"5579",80.284993,195,63,69
"5580",80.291824,63,195,47
"5581",80.298657,5,249,42
"5582",80.318176,8,61,38
"5583",80.339648,8,401,42
"5584",80.358192,5,11,40
"5585",80.378688,85,94,85
"5586",80.382593,5,249,159
"5587",80.390401,8,116,42
"5588",80.415777,5,353,35
"5589",80.419681,2,37,212
"5590",80.432369,5,353,85
"5591",80.469456,9,2,64
"5592",80.477264,5,249,36
"5593",80.479216,29,30,60
"5594",80.481168,2,9,32
"5595",80.488,88,5,37
"5596",80.490929,80,415,28
"5597",80.497761,5,249,162
"5598",80.528992,8,401,34
"5599",80.530945,195,63,54
"5600",80.538752,63,195,28
"5601",80.55144,65,45,100
"5602",80.554368,45,47,99
"5603",80.557296,47,66,99
"5604",80.569985,44,45,51
"5605",80.58072,2,37,212
"5606",80.631472,195,63,40
"5607",80.633424,17,92,97
"5608",80.642209,5,249,42
"5609",80.694914,5,249,105
"5610",80.696865,8,401,39
"5611",80.708577,92,17,21
"5612",80.717361,2,37,212
"5613",80.72712,415,80,19
"5614",80.728096,17,92,47
"5615",80.755424,195,63,50
"5616",80.804224,92,17,45
"5617",80.815936,186,24,70
"5618",80.822769,24,186,43
"5619",80.848144,5,249,31
"5620",80.875472,415,80,45
"5621",80.890113,8,401,35
"5622",80.898896,83,8,38
"5623",80.90768,8,120,40
"5624",80.931104,2,37,212
"5625",80.957456,8,110,39
"5626",80.957458,59,30,56
"5627",80.980883,186,24,25
"5628",80.981857,75,5,46
"5629",80.992592,24,186,44
"5630",81.005856,5,259,34
"5631",81.021473,8,401,34
"5632",81.040993,5,259,35
"5633",81.049776,186,24,25
"5634",81.053682,8,110,167
"5635",81.059536,24,186,49
"5636",81.064416,2,37,212
"5637",81.072224,5,249,33
"5638",81.079056,186,24,25
"5639",81.079057,17,92,52
"5640",81.086864,24,186,50
"5641",81.100528,417,80,34
"5642",81.106384,186,24,25
"5643",81.14152,24,186,17
"5644",81.153232,186,24,25
"5645",81.157136,92,17,38
"5646",81.157137,410,8,135
"5647",81.159088,8,5,135
"5648",81.162016,24,186,20
"5649",81.167873,63,414,45
"5650",81.177632,186,24,25
"5651",81.186416,24,186,41
"5652",81.194224,5,353,53
"5653",81.208864,17,92,50
"5654",81.221552,76,8,48
"5655",81.224481,5,62,44
"5656",81.231312,186,24,25
"5657",81.255712,2,37,212
"5658",81.255713,8,401,57
"5659",81.256689,417,80,50
"5660",81.260592,24,186,48
"5661",81.271328,8,53,19
"5662",81.279136,354,85,252
"5663",81.290848,186,24,25
"5664",81.2928,2,52,23
"5665",81.300608,2,43,18
"5666",81.300609,24,186,53
"5667",81.315249,130,8,48
"5668",81.315251,77,8,62
"5669",81.316224,186,24,84
"5670",81.324032,2,237,29
"5671",81.324035,24,186,46
"5672",81.32696,2,237,29
"5673",81.335744,61,8,36
"5674",81.337696,186,24,25
"5675",81.340625,76,8,29
"5676",81.345504,24,186,42
"5677",81.350386,53,8,26
"5678",81.353312,131,8,40
"5679",81.362096,131,8,38
"5680",81.364048,2,37,212
"5681",81.380641,8,116,43
"5682",81.401136,237,2,24
"5683",81.404065,2,237,30
"5684",81.412848,131,8,43
"5685",81.423587,403,17,45
"5686",81.428465,77,8,161
"5687",81.44213,186,24,25
"5688",81.465552,24,186,39
"5689",81.47824,186,24,25
"5690",81.479217,133,8,34
"5691",81.480193,8,116,203
"5692",81.483121,2,237,20
"5693",81.488976,24,186,50
"5694",81.488977,415,80,38
"5695",81.50752,61,8,33
"5696",81.528016,5,249,41
"5697",81.5368,186,24,25
"5698",81.545584,24,186,47
"5699",81.558272,5,353,42
"5700",81.558273,186,24,25
"5701",81.567056,24,186,45
"5702",81.580722,5,249,88
"5703",81.583649,186,24,25
"5704",81.588528,2,37,212
"5705",81.59048,8,116,37
"5706",81.592433,24,186,42
"5707",81.604145,186,24,25
"5708",81.608048,29,30,60
"5709",81.61293,24,186,41
"5710",81.62952,86,85,85
"5711",81.666608,186,24,25
"5712",81.670513,2,237,53
"5713",81.671488,8,124,182
"5714",81.673441,2,52,100
"5715",81.676368,24,186,46
"5716",81.691985,83,8,20
"5717",81.709552,186,24,25
"5718",81.710529,8,113,43
"5719",81.715408,2,37,212
"5720",81.718336,17,92,50
"5721",81.718337,24,186,48
"5722",81.728096,415,80,84
"5723",81.740785,8,110,42
"5724",81.753473,43,2,30
"5725",81.76128,186,24,25
"5726",81.765186,17,403,52
"5727",81.780802,85,94,85
"5728",81.782752,2,237,24
"5729",81.804224,8,113,36
"5730",81.808129,92,17,25
"5731",81.846192,5,353,38
"5732",81.874497,2,52,122
"5733",81.880352,44,45,159
"5734",81.884257,45,47,159
"5735",81.884258,5,353,63
"5736",81.88816,47,49,161
"5737",81.898897,5,249,41
"5738",81.902802,5,259,37
"5739",81.931104,5,62,138
"5740",81.935008,76,5,28
"5741",81.95648,2,37,212
"5742",81.956482,2,52,17
"5743",81.958434,5,259,42
"5744",81.992593,85,105,197
"5745",82.050752,131,8,30
"5746",82.05368,131,8,35
"5747",82.060512,77,8,41
"5748",82.078081,2,37,212
"5749",82.088817,131,8,39
"5750",82.0976,5,249,31
"5751",82.101504,5,259,252
"5752",82.101505,5,146,38
"5753",82.120049,259,5,64
"5754",82.162016,85,94,192
"5755",82.201056,133,8,38
"5756",82.259616,2,37,212
"5757",82.26352,26,5,38
"5758",82.2684,5,249,34
"5759",82.286944,65,45,161
"5760",82.289872,45,47,60
"5761",82.292801,47,66,60
"5762",82.332817,5,353,39
"5763",82.33477,410,8,109
"5764",82.335744,8,5,109
"5765",82.348432,8,116,47
"5766",82.348433,5,353,19
"5767",82.350385,85,94,72
"5768",82.357217,29,30,60
"5769",82.393329,17,280,45
"5770",82.41968,8,110,34
"5771",82.424561,2,37,212
"5772",82.433344,2,52,23
"5773",82.468483,8,112,196
"5774",82.480193,403,17,38
"5775",82.487025,8,113,42
"5776",82.50752,4,5,39
"5777",82.525088,42,8,63
"5778",82.563154,43,2,53
"5779",82.565105,5,55,19
"5780",82.569008,8,122,36
"5781",82.569984,43,2,168
"5782",82.57584,82,5,40
"5783",82.601217,61,5,49
"5784",82.607072,2,37,212
"5785",82.645138,17,403,50
"5786",82.682224,55,5,36
"5787",82.68808,76,5,28
"5788",82.705648,8,113,53
"5789",82.711504,5,146,221
"5790",82.714433,8,116,38
"5791",82.725168,8,401,34
"5792",82.732,2,37,212
"5793",82.73688,77,8,41
"5794",82.762256,5,353,36
"5795",82.781777,46,5,43
"5796",82.801296,17,280,97
"5797",82.818864,8,42,37
"5798",82.865713,8,120,38
"5799",82.911584,8,83,42
"5800",82.913536,43,2,24
"5801",82.92232,61,8,33
"5802",82.933057,5,4,42
"5803",82.955504,2,37,212
"5804",82.969171,131,8,39
"5805",82.990641,8,124,46
"5806",82.994545,280,17,26
"5807",83.015616,17,280,73
"5808",83.021472,2,287,37
"5809",83.024401,84,5,43
"5810",83.041969,5,249,43
"5811",83.059539,5,249,115
"5812",83.070272,8,116,41
"5813",83.072225,403,17,35
"5814",83.093697,17,403,47
"5815",83.108337,2,37,212
"5816",83.108338,29,30,60
"5817",83.179584,280,17,61
"5818",83.181537,5,249,38
"5819",83.18837,8,87,194
"5820",83.23229,5,249,114
"5821",83.244976,2,37,212
"5822",83.281088,42,8,63
"5823",83.2928,85,94,24
"5824",83.296704,8,401,51
"5825",83.304512,131,8,35
"5826",83.309392,8,122,36
"5827",83.332816,8,110,32
"5828",83.352336,61,8,38
"5829",83.355264,131,8,30
"5830",83.36112,403,17,37
"5831",83.365024,86,85,22
"5832",83.388448,5,353,44
"5833",83.411872,17,403,49
"5834",83.413824,8,5,48
"5835",83.42456,2,37,212
"5836",83.449936,17,280,68
"5837",83.484096,130,8,48
"5838",83.488976,85,94,94
"5839",83.528017,75,5,38
"5840",83.53192,5,249,34
"5841",83.563152,83,8,37
"5842",83.573888,5,353,52
"5843",83.578768,2,37,212
"5844",83.587552,5,353,162
"5845",83.591457,8,116,107
"5846",83.600241,5,11,47
"5847",83.611952,8,53,19
"5848",83.611953,280,17,47
"5849",83.61976,84,5,52
"5850",83.643184,17,280,59
"5851",83.643186,75,5,36
"5852",83.650993,5,62,56
"5853",83.689056,53,8,36
"5854",83.693938,82,5,42
"5855",83.699793,131,8,42
"5856",83.704672,131,8,40
"5857",83.750544,8,401,35
"5858",83.75152,8,116,47
"5859",83.760304,2,37,212
"5860",83.773969,83,8,32
"5861",83.779826,133,8,39
"5862",83.783728,8,42,45
"5863",83.796416,8,122,42
"5864",83.802275,280,17,47
"5865",83.824721,77,8,148
"5866",83.827649,11,5,36
"5867",83.857905,5,249,43
"5868",83.857906,87,5,42
"5869",83.877425,131,8,44
"5870",83.877427,130,8,143
"5871",83.938912,2,37,212
"5872",83.93989,8,110,37
"5873",83.942816,2,52,79
"5874",83.944768,76,8,34
"5875",83.951603,5,57,19
"5876",83.96624,61,5,37
"5877",83.970144,17,280,50
"5878",84.008784,8,110,34
"5879",84.041968,107,8,33
"5880",84.055632,5,353,42
"5881",84.071248,2,37,212
"5882",84.085889,46,5,44
"5883",84.128833,17,403,50
"5884",84.168848,84,5,46
"5885",84.170801,5,249,109
"5886",84.18349,87,5,42
"5887",84.184464,76,5,250
"5888",84.217649,4,5,54
"5889",84.230336,82,5,36
"5890",84.264498,83,8,74
"5891",84.273281,61,5,36
"5892",84.275232,2,37,212
"5893",84.280113,5,249,37
"5894",84.293777,63,195,100
"5895",84.299634,5,249,196
"5896",84.401136,17,216,45
"5897",84.425538,8,113,42
"5898",84.432368,2,37,212
"5899",84.447008,5,62,51
"5900",84.46848,8,110,48
"5901",84.471409,133,8,41
"5902",84.47336,5,249,46
"5903",84.502641,62,5,47
"5904",84.537776,426,80,97
"5905",84.54168,80,426,27
"5906",84.552416,8,401,38
"5907",84.559248,8,120,47
"5908",84.5612,8,123,54
"5909",84.571936,361,181,199
"5910",84.620736,5,353,30
"5911",84.622688,2,37,212
"5912",84.622689,8,122,43
"5913",84.635377,8,113,45
"5914",84.698816,426,80,76
"5915",84.711504,80,426,29
"5916",84.758352,2,326,29
"5917",84.759329,8,116,45
"5918",84.773969,8,42,170
"5919",84.78568,280,17,23
"5920",84.807153,2,37,212
"5921",84.822769,131,8,138
"5922",84.837408,8,113,55
"5923",84.916466,8,116,177
"5924",84.93696,8,110,40
"5925",84.960384,2,37,212
"5926",84.98088,426,80,36
"5927",84.984784,80,426,26
"5928",85.022448,8,401,57
"5929",85.094674,11,5,43
"5930",85.12493,5,55,19
"5931",85.132736,280,17,23
"5932",85.148352,75,5,100
"5933",85.169824,2,37,212
"5934",85.184464,8,116,44
"5935",85.190321,5,146,41
"5936",85.196176,63,195,103
"5937",85.198128,22,232,200
"5938",85.199105,22,232,200
"5939",85.202034,426,80,38
"5940",85.21472,55,5,39
"5941",85.225456,46,5,60
"5942",85.250832,75,5,38
"5943",85.251808,76,5,56
